"GEO_ID","NAME","B19001_001E","B19001_001M","B19001_002E","B19001_002M","B19001_003E","B19001_003M","B19001_004E","B19001_004M","B19001_005E","B19001_005M","B19001_006E","B19001_006M","B19001_007E","B19001_007M","B19001_008E","B19001_008M","B19001_009E","B19001_009M","B19001_010E","B19001_010M","B19001_011E","B19001_011M","B19001_012E","B19001_012M","B19001_013E","B19001_013M","B19001_014E","B19001_014M","B19001_015E","B19001_015M","B19001_016E","B19001_016M","B19001_017E","B19001_017M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than $10,000","Margin of Error!!Total:!!Less than $10,000","Estimate!!Total:!!$10,000 to $14,999","Margin of Error!!Total:!!$10,000 to $14,999","Estimate!!Total:!!$15,000 to $19,999","Margin of Error!!Total:!!$15,000 to $19,999","Estimate!!Total:!!$20,000 to $24,999","Margin of Error!!Total:!!$20,000 to $24,999","Estimate!!Total:!!$25,000 to $29,999","Margin of Error!!Total:!!$25,000 to $29,999","Estimate!!Total:!!$30,000 to $34,999","Margin of Error!!Total:!!$30,000 to $34,999","Estimate!!Total:!!$35,000 to $39,999","Margin of Error!!Total:!!$35,000 to $39,999","Estimate!!Total:!!$40,000 to $44,999","Margin of Error!!Total:!!$40,000 to $44,999","Estimate!!Total:!!$45,000 to $49,999","Margin of Error!!Total:!!$45,000 to $49,999","Estimate!!Total:!!$50,000 to $59,999","Margin of Error!!Total:!!$50,000 to $59,999","Estimate!!Total:!!$60,000 to $74,999","Margin of Error!!Total:!!$60,000 to $74,999","Estimate!!Total:!!$75,000 to $99,999","Margin of Error!!Total:!!$75,000 to $99,999","Estimate!!Total:!!$100,000 to $124,999","Margin of Error!!Total:!!$100,000 to $124,999","Estimate!!Total:!!$125,000 to $149,999","Margin of Error!!Total:!!$125,000 to $149,999","Estimate!!Total:!!$150,000 to $199,999","Margin of Error!!Total:!!$150,000 to $199,999","Estimate!!Total:!!$200,000 or more","Margin of Error!!Total:!!$200,000 or more",
"1500000US510594310013","Block Group 3, Census Tract 4310.01, Fairfax County, Virginia","874","238","59","50","0","13","11","18","0","13","8","13","10","16","34","33","0","13","12","19","25","25","83","49","264","225","116","60","71","57","88","52","93","70",
"1500000US510594310021","Block Group 1, Census Tract 4310.02, Fairfax County, Virginia","696","65","11","11","0","13","10","16","21","24","14","16","10","10","30","31","25","22","25","21","16","16","59","38","134","75","97","40","57","35","100","49","87","46",
"1500000US510594313001","Block Group 1, Census Tract 4313, Fairfax County, Virginia","337","67","22","25","0","13","0","13","0","13","6","12","0","13","8","15","0","13","35","28","20","27","7","11","9","12","34","29","54","48","20","18","122","63",
"1500000US510594313002","Block Group 2, Census Tract 4313, Fairfax County, Virginia","620","144","8","12","0","13","0","13","6","10","0","13","36","44","0","13","0","13","16","24","7","11","13","15","53","41","31","19","74","55","197","127","179","87",
"1500000US510594313003","Block Group 3, Census Tract 4313, Fairfax County, Virginia","348","64","0","13","0","13","0","13","0","13","8","13","7","12","0","13","0","13","0","13","23","20","21","22","16","18","26","19","14","16","122","57","111","53",
"1500000US510594314001","Block Group 1, Census Tract 4314, Fairfax County, Virginia","411","140","17","27","0","13","21","31","11","16","0","13","0","13","0","13","22","23","6","10","11","17","0","13","84","120","10","16","43","31","35","32","151","77",
"1500000US510594314002","Block Group 2, Census Tract 4314, Fairfax County, Virginia","474","81","0","13","0","13","0","13","0","13","10","16","0","13","11","17","10","15","0","13","14","15","21","20","53","38","43","33","95","57","128","54","89","40",
"1500000US510594314003","Block Group 3, Census Tract 4314, Fairfax County, Virginia","658","110","8","13","9","14","0","13","10","15","14","25","0","13","10","15","5","7","32","36","34","39","31","28","98","62","43","39","39","36","236","110","89","45",
"1500000US510594315001","Block Group 1, Census Tract 4315, Fairfax County, Virginia","716","89","0","13","0","13","0","13","0","13","16","18","6","10","19","28","0","13","18","14","8","14","26","24","52","34","78","54","83","41","153","67","257","75",
"1500000US510594315002","Block Group 2, Census Tract 4315, Fairfax County, Virginia","382","80","0","13","0","13","17","21","0","13","0","13","0","13","0","13","0","13","0","13","9","13","22","17","100","53","98","79","38","31","52","33","46","28",
