"GEO_ID","NAME","B19001_001E","B19001_001M","B19001_002E","B19001_002M","B19001_003E","B19001_003M","B19001_004E","B19001_004M","B19001_005E","B19001_005M","B19001_006E","B19001_006M","B19001_007E","B19001_007M","B19001_008E","B19001_008M","B19001_009E","B19001_009M","B19001_010E","B19001_010M","B19001_011E","B19001_011M","B19001_012E","B19001_012M","B19001_013E","B19001_013M","B19001_014E","B19001_014M","B19001_015E","B19001_015M","B19001_016E","B19001_016M","B19001_017E","B19001_017M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than $10,000","Margin of Error!!Total:!!Less than $10,000","Estimate!!Total:!!$10,000 to $14,999","Margin of Error!!Total:!!$10,000 to $14,999","Estimate!!Total:!!$15,000 to $19,999","Margin of Error!!Total:!!$15,000 to $19,999","Estimate!!Total:!!$20,000 to $24,999","Margin of Error!!Total:!!$20,000 to $24,999","Estimate!!Total:!!$25,000 to $29,999","Margin of Error!!Total:!!$25,000 to $29,999","Estimate!!Total:!!$30,000 to $34,999","Margin of Error!!Total:!!$30,000 to $34,999","Estimate!!Total:!!$35,000 to $39,999","Margin of Error!!Total:!!$35,000 to $39,999","Estimate!!Total:!!$40,000 to $44,999","Margin of Error!!Total:!!$40,000 to $44,999","Estimate!!Total:!!$45,000 to $49,999","Margin of Error!!Total:!!$45,000 to $49,999","Estimate!!Total:!!$50,000 to $59,999","Margin of Error!!Total:!!$50,000 to $59,999","Estimate!!Total:!!$60,000 to $74,999","Margin of Error!!Total:!!$60,000 to $74,999","Estimate!!Total:!!$75,000 to $99,999","Margin of Error!!Total:!!$75,000 to $99,999","Estimate!!Total:!!$100,000 to $124,999","Margin of Error!!Total:!!$100,000 to $124,999","Estimate!!Total:!!$125,000 to $149,999","Margin of Error!!Total:!!$125,000 to $149,999","Estimate!!Total:!!$150,000 to $199,999","Margin of Error!!Total:!!$150,000 to $199,999","Estimate!!Total:!!$200,000 or more","Margin of Error!!Total:!!$200,000 or more",
"1500000US040130101021","Block Group 1, Census Tract 101.02, Maricopa County, Arizona","423","153","0","13","0","13","0","13","16","30","20","31","0","13","54","57","0","13","0","13","0","13","0","13","77","100","83","96","62","61","20","32","91","85",
"1500000US040130101022","Block Group 2, Census Tract 101.02, Maricopa County, Arizona","754","174","87","84","0","13","40","46","0","13","0","13","96","111","17","26","0","13","0","13","49","56","0","13","37","28","37","41","70","57","91","103","230","106",
"1500000US040130101023","Block Group 3, Census Tract 101.02, Maricopa County, Arizona","1449","320","146","88","17","29","14","21","20","32","0","13","19","30","34","38","41","45","0","13","17","28","58","72","93","72","36","43","84","63","296","241","574","140",
"1500000US040130101031","Block Group 1, Census Tract 101.03, Maricopa County, Arizona","596","169","28","32","22","34","71","82","0","13","14","22","0","13","50","67","15","25","12","22","27","33","60","46","49","38","72","75","65","50","44","40","67","68",
"1500000US040130101032","Block Group 2, Census Tract 101.03, Maricopa County, Arizona","741","189","15","25","0","13","0","13","0","13","14","23","59","73","20","33","20","33","14","21","16","26","34","39","126","126","77","82","96","76","105","62","145","113",
"1500000US040130101041","Block Group 1, Census Tract 101.04, Maricopa County, Arizona","96","49","13","21","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","10","16","0","13","29","33","0","13","17","27","14","23","13","21",
"1500000US040130101042","Block Group 2, Census Tract 101.04, Maricopa County, Arizona","690","134","0","13","16","26","0","13","47","43","0","13","0","13","15","25","16","26","31","36","102","65","88","50","80","56","47","43","78","75","64","51","106","79",
"1500000US040130101043","Block Group 3, Census Tract 101.04, Maricopa County, Arizona","592","269","0","13","0","13","0","13","0","13","0","13","0","13","20","30","0","13","0","13","34","39","59","50","17","28","58","56","49","44","202","245","153","116",
"1500000US040130304011","Block Group 1, Census Tract 304.01, Maricopa County, Arizona","729","186","31","50","0","13","0","13","0","13","31","51","0","13","43","71","0","13","0","13","65","75","91","102","80","64","120","100","35","31","63","72","170","113",
"1500000US040130304012","Block Group 2, Census Tract 304.01, Maricopa County, Arizona","1000","233","0","13","0","13","0","13","20","34","72","72","26","44","16","26","0","13","0","13","61","72","72","65","44","72","103","131","234","185","99","112","253","194",
"1500000US040130304013","Block Group 3, Census Tract 304.01, Maricopa County, Arizona","769","166","0","13","0","13","17","28","0","13","0","13","16","27","25","29","8","14","7","14","17","26","9","15","78","83","29","24","12","21","205","139","346","99",
"1500000US040130304021","Block Group 1, Census Tract 304.02, Maricopa County, Arizona","260","123","0","13","0","13","0","13","0","13","0","13","26","35","0","13","17","18","18","27","0","13","0","13","16","24","55","44","75","101","19","16","34","25",
"1500000US040130304022","Block Group 2, Census Tract 304.02, Maricopa County, Arizona","763","248","79","84","28","30","24","32","29","38","33","35","8","13","7","13","6","10","19","31","54","45","75","58","147","143","40","30","59","48","44","45","111","68",
"1500000US040130304023","Block Group 3, Census Tract 304.02, Maricopa County, Arizona","680","257","55","43","28","38","0","13","28","34","45","47","11","19","0","13","53","44","6","10","29","26","82","58","100","60","55","48","48","43","32","29","108","60",
"1500000US040130405021","Block Group 1, Census Tract 405.02, Maricopa County, Arizona","162","101","0","13","0","13","0","13","18","29","0","13","0","13","0","13","0","13","0","13","8","13","88","102","0","13","0","13","29","45","0","13","19","30",
"1500000US040130405022","Block Group 2, Census Tract 405.02, Maricopa County, Arizona","263","108","0","13","0","13","0","13","18","30","0","13","39","61","18","27","17","26","0","13","0","13","0","13","38","50","62","54","55","59","0","13","16","27",
"1500000US040130405023","Block Group 3, Census Tract 405.02, Maricopa County, Arizona","691","167","16","27","55","55","43","50","27","45","36","40","31","47","0","13","0","13","15","23","83","77","67","64","72","60","78","98","46","43","95","92","27","45",
"1500000US040130405024","Block Group 4, Census Tract 405.02, Maricopa County, Arizona","514","185","88","96","0","13","15","27","0","13","0","13","0","13","30","48","56","67","0","13","196","190","0","13","89","82","28","44","12","37","0","13","0","13",
"1500000US040130405025","Block Group 5, Census Tract 405.02, Maricopa County, Arizona","763","171","179","113","21","34","17","26","113","111","13","20","0","13","0","13","53","84","23","39","98","65","16","27","36","42","56","57","0","13","19","29","119","83",
"1500000US040130405061","Block Group 1, Census Tract 405.06, Maricopa County, Arizona","1423","482","88","77","47","44","103","85","63","52","365","448","47","44","29","33","47","42","46","41","135","69","230","120","161","103","47","43","15","24","0","13","0","13",
"1500000US040130405062","Block Group 2, Census Tract 405.06, Maricopa County, Arizona","856","175","47","44","16","25","25","40","88","98","62","50","47","44","16","25","86","72","105","82","71","60","79","55","124","80","90","75","0","13","0","13","0","13",
"1500000US040130405063","Block Group 3, Census Tract 405.06, Maricopa County, Arizona","650","131","0","13","33","36","61","59","46","34","31","36","48","44","71","58","30","34","71","75","100","99","62","49","67","48","14","23","0","13","16","25","0","13",
"1500000US040130405064","Block Group 4, Census Tract 405.06, Maricopa County, Arizona","844","126","32","24","67","54","32","36","16","26","31","36","62","50","88","80","0","13","51","46","60","48","165","104","166","87","59","70","15","23","0","13","0","13",
"1500000US040130405071","Block Group 1, Census Tract 405.07, Maricopa County, Arizona","1017","245","96","91","30","33","58","74","15","25","51","48","143","189","24","27","44","42","30","34","47","58","117","80","164","76","126","137","14","22","58","45","0","13",
"1500000US040130405072","Block Group 2, Census Tract 405.07, Maricopa County, Arizona","882","137","49","43","29","32","16","25","43","40","14","23","88","80","27","44","67","68","29","33","114","86","129","62","176","101","87","77","0","13","0","13","14","22",
"1500000US040130405073","Block Group 3, Census Tract 405.07, Maricopa County, Arizona","434","129","14","23","0","13","0","13","0","13","29","32","32","36","0","13","14","22","0","13","126","117","62","50","112","76","15","24","30","33","0","13","0","13",
"1500000US040130405074","Block Group 4, Census Tract 405.07, Maricopa County, Arizona","1111","149","103","87","59","41","63","50","42","39","79","58","72","52","93","73","29","32","68","71","89","61","28","32","112","69","137","92","43","50","63","84","31","34",
