"GEO_ID","NAME","B19001_001E","B19001_001M","B19001_002E","B19001_002M","B19001_003E","B19001_003M","B19001_004E","B19001_004M","B19001_005E","B19001_005M","B19001_006E","B19001_006M","B19001_007E","B19001_007M","B19001_008E","B19001_008M","B19001_009E","B19001_009M","B19001_010E","B19001_010M","B19001_011E","B19001_011M","B19001_012E","B19001_012M","B19001_013E","B19001_013M","B19001_014E","B19001_014M","B19001_015E","B19001_015M","B19001_016E","B19001_016M","B19001_017E","B19001_017M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than $10,000","Margin of Error!!Total:!!Less than $10,000","Estimate!!Total:!!$10,000 to $14,999","Margin of Error!!Total:!!$10,000 to $14,999","Estimate!!Total:!!$15,000 to $19,999","Margin of Error!!Total:!!$15,000 to $19,999","Estimate!!Total:!!$20,000 to $24,999","Margin of Error!!Total:!!$20,000 to $24,999","Estimate!!Total:!!$25,000 to $29,999","Margin of Error!!Total:!!$25,000 to $29,999","Estimate!!Total:!!$30,000 to $34,999","Margin of Error!!Total:!!$30,000 to $34,999","Estimate!!Total:!!$35,000 to $39,999","Margin of Error!!Total:!!$35,000 to $39,999","Estimate!!Total:!!$40,000 to $44,999","Margin of Error!!Total:!!$40,000 to $44,999","Estimate!!Total:!!$45,000 to $49,999","Margin of Error!!Total:!!$45,000 to $49,999","Estimate!!Total:!!$50,000 to $59,999","Margin of Error!!Total:!!$50,000 to $59,999","Estimate!!Total:!!$60,000 to $74,999","Margin of Error!!Total:!!$60,000 to $74,999","Estimate!!Total:!!$75,000 to $99,999","Margin of Error!!Total:!!$75,000 to $99,999","Estimate!!Total:!!$100,000 to $124,999","Margin of Error!!Total:!!$100,000 to $124,999","Estimate!!Total:!!$125,000 to $149,999","Margin of Error!!Total:!!$125,000 to $149,999","Estimate!!Total:!!$150,000 to $199,999","Margin of Error!!Total:!!$150,000 to $199,999","Estimate!!Total:!!$200,000 or more","Margin of Error!!Total:!!$200,000 or more",
"1500000US040130101011","Block Group 1, Census Tract 101.01, Maricopa County, Arizona","770","160","28","32","0","12","48","77","0","12","16","26","0","12","87","82","15","25","15","23","29","33","47","48","105","54","121","97","51","62","65","53","143","85",
"1500000US040130101012","Block Group 2, Census Tract 101.01, Maricopa County, Arizona","933","186","32","35","0","12","20","33","19","30","14","23","34","38","32","40","0","12","9","18","35","40","85","64","119","73","63","54","116","86","155","89","200","103",
"1500000US040130101013","Block Group 3, Census Tract 101.01, Maricopa County, Arizona","691","136","0","12","14","24","0","12","46","44","0","12","0","12","26","30","28","32","32","36","48","46","142","74","81","58","62","44","34","38","47","44","131","94",
"1500000US040130101021","Block Group 1, Census Tract 101.02, Maricopa County, Arizona","551","198","0","12","0","12","0","12","12","21","17","27","0","12","43","55","0","12","0","12","0","12","16","25","128","110","94","93","97","104","55","52","89","84",
"1500000US040130101022","Block Group 2, Census Tract 101.02, Maricopa County, Arizona","677","165","20","32","0","12","18","28","0","12","0","12","174","117","18","28","0","12","0","12","18","28","15","25","37","27","34","39","47","44","35","47","261","103",
"1500000US040130101023","Block Group 3, Census Tract 101.02, Maricopa County, Arizona","1254","199","91","59","16","25","11","18","18","28","0","12","18","29","31","35","38","31","0","12","17","27","17","27","87","67","147","116","103","72","169","89","491","119",
"1500000US040130304011","Block Group 1, Census Tract 304.01, Maricopa County, Arizona","950","209","34","59","36","58","0","12","0","12","81","91","0","12","46","73","0","12","0","12","74","86","99","109","105","71","132","103","14","23","72","83","257","170",
"1500000US040130304012","Block Group 2, Census Tract 304.01, Maricopa County, Arizona","830","209","0","12","0","12","0","12","0","12","129","112","49","58","61","71","0","12","33","53","64","77","47","74","105","118","32","54","135","120","0","12","175","116",
"1500000US040130304013","Block Group 3, Census Tract 304.01, Maricopa County, Arizona","759","123","0","12","16","26","0","12","0","12","0","12","15","23","25","27","0","12","19","23","16","25","9","15","96","85","40","37","40","44","176","93","307","91",
"1500000US040130304021","Block Group 1, Census Tract 304.02, Maricopa County, Arizona","297","76","27","43","0","12","0","12","11","17","0","12","39","47","0","12","20","22","0","12","0","12","10","14","21","24","71","46","22","18","24","26","52","36",
"1500000US040130304022","Block Group 2, Census Tract 304.02, Maricopa County, Arizona","923","158","63","62","23","26","26","41","54","54","35","32","39","47","20","16","12","18","32","40","69","56","106","52","87","65","76","45","84","73","60","37","137","62",
"1500000US040130304023","Block Group 3, Census Tract 304.02, Maricopa County, Arizona","972","151","65","37","69","70","11","18","21","23","68","65","12","18","0","12","85","60","11","16","28","26","104","56","124","54","86","57","62","54","97","52","129","59",
"1500000US040130405021","Block Group 1, Census Tract 405.02, Maricopa County, Arizona","177","104","0","12","0","12","0","12","20","31","0","12","0","12","16","26","0","12","0","12","0","12","76","95","0","12","0","12","46","40","0","12","19","30",
"1500000US040130405022","Block Group 2, Census Tract 405.02, Maricopa County, Arizona","405","175","0","12","73","92","49","81","19","29","0","12","36","59","37","62","13","23","45","76","0","12","0","12","19","37","38","38","42","45","0","12","34","43",
"1500000US040130405023","Block Group 3, Census Tract 405.02, Maricopa County, Arizona","1290","180","373","155","57","54","101","93","108","120","0","12","0","12","19","30","62","64","26","42","134","84","35","41","121","94","84","60","53","70","19","31","98","78",
"1500000US040130405024","Block Group 4, Census Tract 405.02, Maricopa County, Arizona","649","138","17","27","51","50","36","40","0","12","53","49","31","49","0","12","27","49","30","35","96","77","58","65","73","56","76","104","42","53","33","31","26","44",
"1500000US040130405061","Block Group 1, Census Tract 405.06, Maricopa County, Arizona","1232","176","112","73","55","43","109","94","58","54","91","60","30","34","82","88","95","54","15","24","157","73","151","80","175","117","48","46","16","26","38","45","0","12",
"1500000US040130405062","Block Group 2, Census Tract 405.06, Maricopa County, Arizona","749","132","56","52","0","12","0","12","46","42","79","58","48","43","16","24","63","52","131","98","69","56","86","60","88","60","67","58","0","12","0","12","0","12",
"1500000US040130405063","Block Group 3, Census Tract 405.06, Maricopa County, Arizona","570","101","0","12","33","36","32","36","44","33","32","36","78","53","60","48","13","20","71","75","42","40","30","37","92","62","28","30","0","12","15","25","0","12",
"1500000US040130405064","Block Group 4, Census Tract 405.06, Maricopa County, Arizona","850","140","28","23","42","38","80","57","0","12","32","36","58","47","101","92","14","22","15","23","71","49","166","79","144","70","55","67","44","22","0","12","0","12",
"1500000US040130405071","Block Group 1, Census Tract 405.07, Maricopa County, Arizona","897","119","99","95","30","33","77","82","31","36","60","47","30","33","0","12","30","33","30","35","75","54","123","89","151","65","61","43","42","38","58","47","0","12",
"1500000US040130405072","Block Group 2, Census Tract 405.07, Maricopa County, Arizona","1549","165","138","113","63","50","90","53","122","92","167","102","93","59","61","48","44","40","92","80","76","42","146","59","149","83","166","79","60","48","52","85","30","35",
"1500000US040130405073","Block Group 3, Census Tract 405.07, Maricopa County, Arizona","530","94","45","41","43","40","31","35","28","31","29","32","0","12","15","24","30","32","28","33","101","59","59","34","92","87","14","23","0","12","15","24","0","12",
"1500000US040130405074","Block Group 4, Census Tract 405.07, Maricopa County, Arizona","630","121","33","37","30","34","15","24","31","35","30","33","76","81","0","12","29","32","46","42","87","75","89","57","91","55","59","73","0","12","0","12","14","23",
"1500000US040130405075","Block Group 5, Census Tract 405.07, Maricopa County, Arizona","387","66","15","24","0","12","0","12","0","12","28","32","48","44","13","22","14","23","0","12","60","42","75","52","60","46","15","25","59","47","0","12","0","12",
