"GEO_ID","NAME","B19001_001E","B19001_001M","B19001_002E","B19001_002M","B19001_003E","B19001_003M","B19001_004E","B19001_004M","B19001_005E","B19001_005M","B19001_006E","B19001_006M","B19001_007E","B19001_007M","B19001_008E","B19001_008M","B19001_009E","B19001_009M","B19001_010E","B19001_010M","B19001_011E","B19001_011M","B19001_012E","B19001_012M","B19001_013E","B19001_013M","B19001_014E","B19001_014M","B19001_015E","B19001_015M","B19001_016E","B19001_016M","B19001_017E","B19001_017M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than $10,000","Margin of Error!!Total:!!Less than $10,000","Estimate!!Total:!!$10,000 to $14,999","Margin of Error!!Total:!!$10,000 to $14,999","Estimate!!Total:!!$15,000 to $19,999","Margin of Error!!Total:!!$15,000 to $19,999","Estimate!!Total:!!$20,000 to $24,999","Margin of Error!!Total:!!$20,000 to $24,999","Estimate!!Total:!!$25,000 to $29,999","Margin of Error!!Total:!!$25,000 to $29,999","Estimate!!Total:!!$30,000 to $34,999","Margin of Error!!Total:!!$30,000 to $34,999","Estimate!!Total:!!$35,000 to $39,999","Margin of Error!!Total:!!$35,000 to $39,999","Estimate!!Total:!!$40,000 to $44,999","Margin of Error!!Total:!!$40,000 to $44,999","Estimate!!Total:!!$45,000 to $49,999","Margin of Error!!Total:!!$45,000 to $49,999","Estimate!!Total:!!$50,000 to $59,999","Margin of Error!!Total:!!$50,000 to $59,999","Estimate!!Total:!!$60,000 to $74,999","Margin of Error!!Total:!!$60,000 to $74,999","Estimate!!Total:!!$75,000 to $99,999","Margin of Error!!Total:!!$75,000 to $99,999","Estimate!!Total:!!$100,000 to $124,999","Margin of Error!!Total:!!$100,000 to $124,999","Estimate!!Total:!!$125,000 to $149,999","Margin of Error!!Total:!!$125,000 to $149,999","Estimate!!Total:!!$150,000 to $199,999","Margin of Error!!Total:!!$150,000 to $199,999","Estimate!!Total:!!$200,000 or more","Margin of Error!!Total:!!$200,000 or more",
"1500000US340030010011","Block Group 1, Census Tract 10.01, Bergen County, New Jersey","466","120","12","19","36","55","38","62","0","13","10","19","12","20","0","13","21","23","0","13","0","13","36","56","48","46","45","57","83","91","12","17","113","57",
"1500000US340030010012","Block Group 2, Census Tract 10.01, Bergen County, New Jersey","361","100","0","13","0","13","31","48","0","13","0","13","14","24","0","13","30","49","0","13","0","13","16","26","11","20","11","17","0","13","78","54","170","72",
"1500000US340030010013","Block Group 3, Census Tract 10.01, Bergen County, New Jersey","247","86","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","36","46","0","13","0","13","35","35","20","17","62","62","94","70",
"1500000US340030010021","Block Group 1, Census Tract 10.02, Bergen County, New Jersey","425","87","0","13","0","13","0","13","17","25","0","13","0","13","0","13","0","13","0","13","0","13","0","13","10","18","37","47","8","20","31","32","322","101",
"1500000US340030010022","Block Group 2, Census Tract 10.02, Bergen County, New Jersey","736","212","54","87","22","27","0","13","4","7","0","13","0","13","45","36","0","13","0","13","26","27","63","45","37","36","179","192","29","29","68","49","209","80",
"1500000US340030021001","Block Group 1, Census Tract 21, Bergen County, New Jersey","260","53","17","15","11","9","3","4","5","7","3","5","0","13","0","13","9","7","1","2","6","7","16","19","3","4","17","15","21","14","37","29","111","41",
"1500000US340030021002","Block Group 2, Census Tract 21, Bergen County, New Jersey","258","54","0","13","11","13","3","5","4","5","4","5","3","6","10","15","0","13","0","13","3","4","2","3","36","23","11","8","32","21","30","18","109","43",
"1500000US340030022001","Block Group 1, Census Tract 22, Bergen County, New Jersey","594","181","0","13","0","13","18","20","17","20","8","12","43","45","9","15","0","13","10","15","11","13","141","184","41","37","34","27","18","20","113","68","131","126",
"1500000US340030022002","Block Group 2, Census Tract 22, Bergen County, New Jersey","397","116","2","3","23","41","0","13","13","19","1","2","7","11","13","21","8","12","27","43","0","13","9","12","102","100","67","47","15","15","16","17","94","60",
